query,mask,ambigous_word,sense,template,label,test
The clip is about a king. ,king,about,topic,The clip is about (a),1,0
The clip is about a prince. ,prince,about,topic,The clip is about (a),1,0
The clip is about a ball. ,ball,about,topic,The clip is about (a),1,0
The clip is about a man. ,man,about,topic,The clip is about (a),1,0
The clip is about a women. ,women,about,topic,The clip is about (a),1,0
The clip is about a city. ,city,about,topic,The clip is about (a),1,0
The clip is about a shop. ,shop,about,topic,The clip is about (a),1,0
The clip is about a dog. ,dog,about,topic,The clip is about (a),1,0
The clip is about a cat.  ,cat,about,topic,The clip is about (a),1,0
The clip is about a child. ,child,about,topic,The clip is about (a),1,0
The clip is about a tree. ,tree,about,topic,The clip is about (a),1,0
The show is about a MASK.,MASK,about,topic,The [X] is about,1,1
The movie is about a MASK.,MASK,about,topic,The [X] is about,1,1
The book is about a MASK. ,MASK,about,topic,The [X] is about,1,1
The lesson is about a MASK. ,MASK,about,topic,The [X] is about,1,1
The story is about a MASK. ,MASK,about,topic,The [X] is about,1,1
The show is about a MASK. ,MASK,about,topic,The [X] is about,1,1
The legend is about a MASK. ,MASK,about,topic,The [X] is about,1,1
The rumor is about a MASK. ,MASK,about,topic,The [X] is about,1,1
The case is about a MASK. ,MASK,about,topic,The [X] is about,1,1
I ate salad with enthusiasm. ,enthusiasm,with,feeling,I ate salad with,2,0
I ate salad with enjoyment. ,enjoyment,with,feeling,I ate salad with,2,0
I ate salad with abandon. ,abandon,with,feeling,I ate salad with,2,0
I ate salad with gusto. ,gusto,with,feeling,I ate salad with,2,0
I ate salad with amusement. ,amusement,with,feeling,I ate salad with,2,0
I ate salad with boredom. ,boredom,with,feeling,I ate salad with,2,0
I ate salad with satisfaction.,satisfaction,with,feeling,I ate salad with,2,0
I ate salad with excitement. ,excitement,with,feeling,I ate salad with,2,0
I ate salad with sadness. ,sadness,with,feeling,I ate salad with,2,0
I ate salad with delight. ,delight,with,feeling,I ate salad with,2,0
I ate salad with hesitation. ,hesitation,with,feeling,I ate salad with,2,0
I ate salad with surprise. ,surprise,with,feeling,I ate salad with,2,0
I ate salad with pleasure.,pleasure,with,feeling,I ate salad with,2,0
I ate salad with regret. ,regret,with,feeling,I ate salad with,2,0
I ate pizza with MASK. ,MASK,with,feeling,I ate [X] with,2,1
I ate chocolate with MASK.,MASK,with,feeling,I ate [X] with,2,1
I ate soup with MASK.,MASK,with,feeling,I ate [X] with,2,1
I ate doughnuts with MASK. ,MASK,with,feeling,I ate [X] with,2,1
I ate bread with MASK. ,MASK,with,feeling,I ate [X] with,2,1
I ate sushi with MASK. ,MASK,with,feeling,I ate [X] with,2,1
I ate cookies with MASK. ,MASK,with,feeling,I ate [X] with,2,1
I ate rice with MASK. ,MASK,with,feeling,I ate [X] with,2,1
I ate cereal with joy. ,MASK,with,feeling,I ate [X] with,2,1
I ate salad with Lisa. ,Lisa,with,accompanier,I ate salad with,3,0
I ate salad with Sarah. ,Sarah,with,accompanier,I ate salad with,3,0
I ate salad with John. ,John,with,accompanier,I ate salad with,3,0
I ate salad with her. ,her,with,accompanier,I ate salad with,3,0
I ate salad with you. ,you,with,accompanier,I ate salad with,3,0
I ate salad with him. ,him,with,accompanier,I ate salad with,3,0
I ate salad with them.,them,with,accompanier,I ate salad with,3,0
I ate salad with Nathan. ,Nathan,with,accompanier,I ate salad with,3,0
I ate salad with Emily. ,Emily,with,accompanier,I ate salad with,3,0
I ate salad with Chris ,Chris,with,accompanier,I ate salad with,3,0
I ate salad with Roger. ,Roger,with,accompanier,I ate salad with,3,0
I ate salad with Anna. ,Anna,with,accompanier,I ate salad with,3,0
I ate salad with Josh.,Josh,with,accompanier,I ate salad with,3,0
I ate salad with Bob. ,Bob,with,accompanier,I ate salad with,3,0
I ate pizza with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
I ate a cake with MASK.,MASK,with,accompanier,I ate [X] with,3,1
I ate soup with MASK.,MASK,with,accompanier,I ate [X] with,3,1
I ate doughnuts with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
I ate bread with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
I ate sushi with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
I ate a burger with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
I ate rice with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
I ate cereal with MASK. ,MASK,with,accompanier,I ate [X] with,3,1
